术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rFZlKd,SPU名称,spu_name,,商品标准化信息单元的名称，用于标识同一款产品的核心属性。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rRqvKA,版本号,version_no,,软件或文档的标识符，用于区分不同更新阶段。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rpcMVL,保存,save,,将数据或状态从内存写入永久存储介质。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhlPa4,保费,insurance_premium,,投保人向保险公司支付的费用，是获得保险保障的对价。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rBVUvL,保费率,insurance_premium_rate,,保费率是单位保险金额所需缴纳的保费，是计算保险费的基础。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rC9pmI,保险标的,insurance_subject,,保险标的指保险合同所保障的财产、人身或相关利益。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
renAne,保险单费率,insurance_policy_rate,保单费率,保险单费率指计算保费的标准，通常基于风险、保额等因素确定。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ryL5Tk,保险单号,insurance_policy_no,投保单号,保险单的唯一识别编号，用于查询和管理保单。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1hBqU,保险单状态,insurance_policy_status,保单状态,保险单状态指保单在生命周期中的当前阶段，如生效、终止或失效。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
raF5Qj,保险公司,insurance_company,,依法经营保险业务，承担风险保障与补偿的商业机构。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rsgnM1,保险金额,insurance_amount,,保险金额是保险公司承担赔偿责任的最高限额，也是计算保费的基础。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rNC8Lr,保险类型,insurance_type,,保险类型指按保障范围划分的险种，如寿险、健康险、财产险等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbUjz4,保险期限,insurance_period,,保险期限指保险合同的有效时长，即保险人承担保险责任的时间范围。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r9PK2q,保险起期,insurance_effective_start_date,,保险起期指保险合同生效、保障责任开始的具体日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rL1ypY,保险止期,insurance_effective_end_date,,保险止期指保险合同效力终止的具体日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rkiJgq,保险状态,insurance_status,,保险状态指保单在特定时间点的效力情况，如有效、失效或终止。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtQA6d,报表类型,report_type,,报表类型指数据报告的呈现形式，如汇总、明细、趋势分析等，用于满足不同查看需求。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWCbv5,报表名称,report_name,,报表名称是报表的唯一标识，用于区分和调用不同报表。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rLWZ6o,报表周期,report_period,,报表周期指生成报表的时间跨度，如日、周、月、年等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rDT4wP,报表状态,report_status,,报表状态指报表的生成、审核、发布等流程节点标识。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rFyvmW,备注,remark,,备注是对事物进行补充说明或记录的文字。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
