术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rFEED1,饲养员,feeder_name,饲养员|喂牛员,负责牛只日常饲喂工作的人员，负责管理栏舍的喂养事务。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rINVST1,投资方ID,investor_id,投资人ID|投资方编号,投资牛只采购的资金方标识，用于追踪投资来源和收益分配。,待确认,牧场业务系统,栏舍/批次/牛只维度表,dbt,dbt,2026年3月27日
rFMEAT1,料肉比,feed_meat_ratio,饲料转化率,指每增长1公斤体重所需消耗的饲料重量，是衡量养殖效率的关键指标。,待确认,牧场业务系统,配方/生长阶段维度表,dbt,dbt,2026年3月27日
rDAYAGE,日龄,day_age,天数|出生天数,牛只从出生到当前的天数，用于评估生长阶段和饲喂方案。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rSTALL1,栏舍类型,stall_type,牛舍类型,栏舍的功能分类，如育肥舍、产房、犊牛舍等。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rRCIP1,配方ID,recipe_id,饲料配方ID|配方编号,饲料配方的唯一标识，用于标识不同的饲喂方案。,待确认,牧场业务系统,配方/栏舍维度表,dbt,dbt,2026年3月27日
rRCIP2,配方名称,recipe_name,饲料配方名称|配方名,饲料配方的名称，描述该配方的用途或适用对象。,待确认,牧场业务系统,配方/栏舍维度表,dbt,dbt,2026年3月27日
rRCIP3,配方总重量,recipe_total_weight,配方重量,每日饲喂的总饲料重量，包含早中晚三餐的总和。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rSTAGE1,生长阶段ID,stage_id,阶段ID|生长阶段编号,牛只生长阶段的唯一标识，用于区分不同体重阶段。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rSTAGE2,生长阶段名称,stage_name,阶段名称|生长阶段名,描述生长阶段的名称，如"育肥前期"、"育肥后期"等。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rFEED2,早饲喂量,morning_feed_weight,早餐饲喂量|早班饲喂量,早晨每头牛或每个栏舍的饲料投喂重量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rFEED3,午饲喂量,noon_feed_weight,午餐饲喂量|中班饲喂量,中午每头牛或每个栏舍的饲料投喂重量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rFEED4,晚饲喂量,night_feed_weight,晚餐饲喂量|晚班饲喂量,晚间每头牛或每个栏舍的饲料投喂重量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rCATTL1,实际存栏数,real_cattle_count,实际牛只数量|存栏头数,栏舍或牧场当前实际存活的牛只数量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rCATTL2,牛只总重量,total_cattle_weight,存栏总重|栏舍牛只总重,栏舍内所有牛只的总重量，用于评估库存价值。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rCATTL3,牛只ID,cattle_id,牛ID|牛只标识,牛只的唯一标识符，通常映射自采购单ID。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rCATTL4,牛只编号,cattle_no,牛号|牛只编号,牛只的耳标号或识别码，用于个体追踪管理。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rCATTL5,牛只数量,cattle_quantity,牛数量|采购数量,采购批次中牛只的数量。,待确认,牧场业务系统,牛只/批次维度表,dbt,dbt,2026年3月27日
rCOST1,采购成本,purchase_cost,采购金额|购买成本,采购牛只所支付的总成本，包含牛价、运费等。,待确认,牧场业务系统,牛只/批次维度表,dbt,dbt,2026年3月27日
rCOST2,附加成本,additional_cost,额外费用|附加费用,除采购成本外的其他费用，如检疫费、保险费等。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rPURCH1,采购日期,purchase_date,购买日期|进货日期,牛只采购的入库日期，用于计算饲养天数和成本分摊。,待确认,牧场业务系统,牛只/批次维度表,dbt,dbt,2026年3月27日
